UniqueCarrier,all,delay,pdelay,year,color,id
9E,258851,34093,13.17089754,2007,1,1
9E,262208,31112,11.86538931,2008,1,2
AA,752241,75403,10.02378227,2003,2,3
AA,698548,100577,14.39800844,2004,2,4
AA,673569,100352,14.89854788,2005,2,5
AA,643597,104359,16.2149606,2006,2,6
AA,633857,130625,20.60796047,2007,2,7
AA,604885,116371,19.23853294,2008,2,8
AQ,35387,1714,4.843586628,2006,3,9
AQ,46360,2388,5.150992235,2007,3,10
AQ,7800,275,3.525641026,2008,3,11
AS,161594,19774,12.23684048,2003,4,12
AS,166992,27099,16.22772348,2004,4,13
AS,158100,34155,21.60341556,2005,4,14
AS,159404,27399,17.1884018,2006,4,15
AS,160185,29333,18.31195181,2007,4,16
AS,151102,20224,13.38433641,2008,4,17
B6,67184,6735,10.02470826,2003,5,18
B6,89834,10277,11.43998931,2004,5,19
B6,111050,19209,17.29761369,2005,5,20
B6,155732,26447,16.98237999,2006,5,21
B6,191450,37658,19.6698877,2007,5,22
B6,196091,34982,17.83967648,2008,5,23
CO,302742,25273,8.348032318,2003,6,24
CO,299329,31280,10.45003992,2004,6,25
CO,296661,37869,12.76507529,2005,6,26
CO,309389,50674,16.37873357,2006,6,27
CO,323151,55848,17.28232312,2007,6,28
CO,298455,53307,17.86098407,2008,6,29
DH,291600,46788,16.04526749,2003,7,30
DH,264955,46171,17.425978,2004,7,31
DH,136492,16698,12.23368403,2005,7,32
DL,660617,53164,8.047628202,2003,8,33
DL,687638,83329,12.11814938,2004,8,34
DL,658302,84377,12.81736954,2005,8,35
DL,506086,69423,13.71762902,2006,8,36
DL,475889,61269,12.87464094,2007,8,37
DL,451931,58116,12.85948519,2008,8,38
EV,273712,40249,14.70487227,2003,9,39
EV,278861,44478,15.94988184,2004,9,40
EV,304647,58374,19.16119312,2005,9,41
EV,273143,64738,23.70113823,2006,9,42
EV,286234,75054,26.22120363,2007,9,43
EV,280575,49666,17.70150584,2008,9,44
F9,53255,5846,10.97737302,2005,10,45
F9,90181,9800,10.86703408,2006,10,46
F9,97760,13100,13.40016367,2007,10,47
F9,95762,11240,11.73743238,2008,10,48
FL,144700,19407,13.41188666,2003,11,49
FL,162558,26701,16.42552197,2004,11,50
FL,195392,41912,21.45021291,2005,11,51
FL,237645,43064,18.12114709,2006,11,52
FL,263159,39933,15.17447627,2007,11,53
FL,261684,38410,14.67800859,2008,11,54
HA,7831,344,4.392797855,2003,12,55
HA,48077,1652,3.436154502,2004,12,56
HA,48183,1192,2.473901584,2005,12,57
HA,52173,1383,2.650796389,2006,12,58
HA,56175,1589,2.828660436,2007,12,59
HA,61826,3008,4.86526704,2008,12,60
HP,189519,19005,10.0280183,2003,13,61
HP,195939,25748,13.14082444,2004,13,62
HP,197853,22274,11.25785305,2005,13,63
MQ,429098,52426,12.21772183,2003,14,64
MQ,483088,76178,15.76896963,2004,14,65
MQ,532032,74356,13.97585108,2005,14,66
MQ,550088,101034,18.36687948,2006,14,67
MQ,540494,107073,19.81021066,2007,14,68
MQ,490693,84720,17.26537774,2008,14,69
NW,499160,38843,7.781673211,2003,15,70
NW,507286,48155,9.492672772,2004,15,71
NW,480832,64422,13.39802675,2005,15,72
NW,432880,55042,12.71530216,2006,15,73
NW,414526,61593,14.85865784,2007,15,74
NW,347652,42199,12.13828771,2008,15,75
OH,373346,51561,13.81051357,2004,16,76
OH,381337,43884,11.5079313,2005,16,77
OH,278099,41334,14.86305237,2006,16,78
OH,233787,42419,18.14429374,2007,16,79
OH,197607,32660,16.52775458,2008,16,80
OO,396801,27224,6.860869806,2003,17,81
OO,463448,46229,9.975013378,2004,17,82
OO,517454,57417,11.09605878,2005,17,83
OO,548109,80474,14.68211615,2006,17,84
OO,597882,87166,14.579131,2007,17,85
OO,567159,75045,13.23173925,2008,17,86
TZ,69176,7182,10.38221348,2003,18,87
TZ,75533,8056,10.66553692,2004,18,88
TZ,44109,4329,9.814323607,2005,18,89
TZ,19602,3364,17.16151413,2006,18,90
UA,543957,50994,9.374638069,2003,19,91
UA,555812,68025,12.23885055,2004,19,92
UA,485918,72188,14.85600451,2005,19,93
UA,500008,86279,17.25552391,2006,19,94
UA,490002,95150,19.41828809,2007,19,95
UA,449515,87132,19.38355783,2008,19,96
US,411956,41752,10.13506297,2003,20,97
US,419919,51397,12.23974147,2004,20,98
US,425609,61171,14.37258141,2005,20,99
US,504844,66769,13.22566971,2006,20,100
US,485447,88938,18.32084656,2007,20,101
US,453589,50660,11.16870118,2008,20,102
WN,958566,90496,9.440768815,2003,21,103
WN,990404,143015,14.44006688,2004,21,104
WN,1036034,150533,14.52973551,2005,21,105
WN,1099321,174383,15.86279167,2006,21,106
WN,1168871,185017,15.82869282,2007,21,107
WN,1201754,186733,15.53837141,2008,21,108
XE,328086,29541,9.004041623,2003,22,109
XE,367703,40195,10.93137668,2004,22,110
XE,403767,50856,12.59538298,2005,22,111
XE,441470,69465,15.73493103,2006,22,112
XE,434773,74477,17.13008857,2007,22,113
XE,374510,62805,16.76991269,2008,22,114
YV,304764,56733,18.61538764,2006,23,115
YV,294362,51672,17.55389622,2007,23,116
YV,254930,43706,17.14431413,2008,23,117
